symbol,shortName,longName,longBusinessSummary,totalRevenue,beta,overallRisk,price_history,catholic_values,esg_score,env_score,gov_score,soc_score,strongest_principle,weakest_principle,vice_products,ethical_concerns,military_involvement,health_impact
MMM,3M Company,3M Company,"3M Company provides diversified technology services in the United States and internationally. The company operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment/bonding products, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; semiconductor production materials; data centers solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports, and consumer respirators; home cleaning products; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. 3M Company was founded in 1902 and is headquartered in Saint Paul, Minnesota.",32681000960,1.016,6,"{'Close': {0: 104.34681701660156, 1: 104.70093536376953, 2: 105.9993667602539, 3: 106.25511169433594, 4: 94.52986907958984, 5: 91.71659851074219, 6: 94.41183471679688, 7: 94.42166900634766, 8: 94.8052978515625, 9: 94.18559265136719, 10: 92.80846405029297, 11: 94.34297943115234, 12: 93.3199691772461, 13: 91.21493530273438, 14: 92.22810363769531, 15: 92.30679321289062, 16: 91.67725372314453, 17: 91.38215637207031, 18: 93.0838851928711, 19: 91.14608001708984, 20: 90.90999603271484, 21: 92.37999725341797, 22: 91.25}}",No,73.0,73.0,73.0,74.0,socialScore,governanceScore,,,,
AOS,A.O. Smith Corporation,A. O. Smith Corporation,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, heat pumps, tanks, and water treatment products in North America, China, Europe, and India. The company offers water heaters for residences, restaurants, hotels, office buildings, laundries, car washes, and small businesses; boilers for hospitals, schools, hotels, and other large commercial buildings, as well as homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, and point-of-use carbon and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides commercial water treatment and filtration product; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and electric wall-hung, gas tankless, combi-boiler, and heat pump and solar water heaters. The company offers its products under the A. O. Smith, State, Lochinvar, Hague, Water-Right, Master Water, Atlantic Filter, and Water Tec brands. It distributes its products through independent wholesale plumbing distributors, as well as to retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce channels. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",3852800000,1.242,10,"{'Close': {0: 79.80599975585938, 1: 80.26419067382812, 2: 80.8917236328125, 3: 81.79815673828125, 4: 81.52921295166016, 5: 80.01517486572266, 6: 80.95148468017578, 7: 80.60285949707031, 8: 81.33000183105469, 9: 79.72000122070312, 10: 77.61000061035156, 11: 79.56999969482422, 12: 78.33000183105469, 13: 77.08999633789062, 14: 78.22000122070312, 15: 79.83999633789062, 16: 80.25, 17: 80.54000091552734, 18: 81.27999877929688, 19: 79.25, 20: 81.16999816894531, 21: 81.0, 22: 80.08999633789062}}",No,46.51,43.25,57.85,42.14,governanceScore,socialScore,,,,
ABT,Abbott Laboratories,Abbott Laboratories,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also offers laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for laboratories. In addition, the company provides pediatric and adult nutritional products; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",40108998656,0.745,7,"{'Close': {0: 113.93000030517578, 1: 114.0199966430664, 2: 114.69000244140625, 3: 114.19000244140625, 4: 114.0, 5: 110.7699966430664, 6: 112.44999694824219, 7: 112.01000213623047, 8: 113.44999694824219, 9: 113.4800033569336, 10: 113.1500015258789, 11: 114.48999786376953, 12: 112.11000061035156, 13: 111.6500015258789, 14: 114.0, 15: 113.30999755859375, 16: 112.43000030517578, 17: 111.80999755859375, 18: 112.52999877929688, 19: 111.33999633789062, 20: 112.05999755859375, 21: 113.63999938964844, 22: 114.01000213623047}}",No,64.0,71.0,69.0,57.0,environmentScore,socialScore,,,,
ABBV,AbbVie Inc.,AbbVie Inc.,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide. The company offers Humira, a therapy administered as an injection for autoimmune, intestinal Behçet's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohn's disease; Rinvoq, a JAK inhibitor to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, and ulcerative colitis; Imbruvica for the treatment of adult patients with blood cancers; and Venclexta/Venclyxto to treat hematological malignancies. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; and Ubrelvy for the acute treatment of migraine with or without aura in adults; Qulipta for episodic migraine. In addition, the company offers Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure(IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Restasis, a calcineurin inhibitor immunosuppressant indicated to increase tear production; and eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus (HCV) genotype 1-6 infection and HCV genotype 1 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism. It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; I-Mab Biopharma; Genmab A/S; Janssen Biotech, Inc.; Genentech, Inc.; California Institute for Biomedical Research (Calibr), and BigHat Biosciences, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",54317998080,0.542,8,"{'Close': {0: 162.0399932861328, 1: 163.3000030517578, 2: 164.77000427246094, 3: 165.38999938964844, 4: 167.5, 5: 164.22000122070312, 6: 165.1300048828125, 7: 164.39999389648438, 8: 163.91000366210938, 9: 164.9199981689453, 10: 164.39999389648438, 11: 167.58999633789062, 12: 168.6699981689453, 13: 171.25999450683594, 14: 173.2899932861328, 15: 175.00999450683594, 16: 174.7899932861328, 17: 174.0800018310547, 18: 173.07000732421875, 19: 173.2899932861328, 20: 174.4199981689453, 21: 176.58999633789062, 22: 177.49000549316406}}",No,64.0,66.0,69.0,60.0,governanceScore,socialScore,,,,
ACN,Accenture plc,Accenture plc,"Accenture plc, a professional services company, provides strategy and consulting, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management; intelligent automation comprising robotic process automation, natural language processing, and virtual agents; and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprising turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company has a collaboration with Salesforce, Inc. to develop Salesforce Life Sciences Cloud. The company was founded in 1951 and is based in Dublin, Ireland.",64588247040,1.205,1,"{'Close': {0: 353.6499938964844, 1: 359.54998779296875, 2: 363.8999938964844, 3: 367.2099914550781, 4: 369.8599853515625, 5: 368.8999938964844, 6: 371.94000244140625, 7: 371.07000732421875, 8: 373.3500061035156, 9: 371.29998779296875, 10: 363.8800048828125, 11: 370.9100036621094, 12: 372.95001220703125, 13: 370.3399963378906, 14: 364.70001220703125, 15: 366.6499938964844, 16: 368.4800109863281, 17: 371.6700134277344, 18: 367.42999267578125, 19: 362.80999755859375, 20: 370.9800109863281, 21: 371.510009765625, 22: 369.4800109863281}}",No,72.0,77.0,78.0,66.0,governanceScore,socialScore,,,,
ADBE,Adobe Inc.,Adobe Inc.,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, and communicators. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. It also provides consulting, technical support, and learning services. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",19409000448,1.335,3,"{'Close': {0: 596.0999755859375, 1: 593.7000122070312, 2: 611.5499877929688, 3: 603.5900268554688, 4: 597.1799926757812, 5: 606.47998046875, 6: 622.5800170898438, 7: 613.9299926757812, 8: 630.22998046875, 9: 627.9600219726562, 10: 617.780029296875, 11: 627.9099731445312, 12: 634.760009765625, 13: 630.5, 14: 607.1400146484375, 15: 615.8499755859375, 16: 615.8599853515625, 17: 627.2100219726562, 18: 611.8400268554688, 19: 601.8900146484375, 20: 604.6599731445312, 21: 590.4400024414062, 22: 546.6599731445312}}",No,70.0,75.0,63.0,71.0,environmentScore,governanceScore,,,,
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California.",22680000512,1.629,5,"{'Close': {0: 160.1699981689453, 1: 162.6699981689453, 2: 174.22999572753906, 3: 168.17999267578125, 4: 168.4199981689453, 5: 178.2899932861328, 6: 180.3300018310547, 7: 177.25, 8: 177.8300018310547, 9: 172.05999755859375, 10: 167.69000244140625, 11: 170.47999572753906, 12: 177.66000366210938, 13: 174.22999572753906, 14: 167.8800048828125, 15: 170.94000244140625, 16: 169.35000610351562, 17: 172.47999572753906, 18: 171.91000366210938, 19: 171.5399932861328, 20: 178.6999969482422, 21: 176.75999450683594, 22: 173.8699951171875}}",N/A,N/A,N/A,N/A,N/A,socialScore,socialScore,N/A,N/A,N/A,N/A
AES,The AES Corporation,The AES Corporation,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including coal, gas, hydro, wind, solar, and biomass; and renewables, such as energy storage and landfill gas. The company owns and/or operates a generation portfolio of approximately 32,326 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",12760000512,1.092,2,"{'Close': {0: 17.22261619567871, 1: 17.20281982421875, 2: 16.717815399169922, 3: 16.608938217163086, 4: 16.638629913330078, 5: 16.331790924072266, 6: 16.955368041992188, 7: 16.97516441345215, 8: 17.103839874267578, 9: 16.796998977661133, 10: 16.68000030517578, 11: 17.15999984741211, 12: 17.020000457763672, 13: 16.510000228881836, 14: 16.5, 15: 16.31999969482422, 16: 16.200000762939453, 17: 16.459999084472656, 18: 16.8799991607666, 19: 16.0, 20: 16.139999389648438, 21: 16.780000686645508, 22: 16.770000457763672}}",No,54.0,47.0,65.0,57.0,governanceScore,environmentScore,,,,
AFL,AFLAC Incorporated,Aflac Incorporated,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates in two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care, work leave, GIFT, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products in Japan. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",18701000704,0.927,5,"{'Close': {0: 82.83000183105469, 1: 83.61000061035156, 2: 84.37000274658203, 3: 84.5, 4: 84.63999938964844, 5: 85.0, 6: 84.88999938964844, 7: 85.30999755859375, 8: 84.58999633789062, 9: 85.7300033569336, 10: 84.33999633789062, 11: 76.19999694824219, 12: 76.81999969482422, 13: 76.33000183105469, 14: 76.91999816894531, 15: 78.83000183105469, 16: 78.11000061035156, 17: 78.2300033569336, 18: 78.51000213623047, 19: 78.05999755859375, 20: 78.91999816894531, 21: 80.16999816894531, 22: 79.37999725341797}}",No,57.0,51.0,54.0,65.0,socialScore,environmentScore,,,,
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates in three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; and vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment focuses on genomics, nucleic acid contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership, and biomolecular analysis businesses. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and offers services portfolio, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, and consulting services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",6832999936,1.109,8,"{'Close': {0: 128.1199951171875, 1: 130.4600067138672, 2: 131.22000122070312, 3: 132.5500030517578, 4: 131.63999938964844, 5: 129.77999877929688, 6: 129.8800048828125, 7: 130.99000549316406, 8: 132.8300018310547, 9: 134.27999877929688, 10: 130.10000610351562, 11: 133.0500030517578, 12: 132.97000122070312, 13: 132.82000732421875, 14: 135.86000061035156, 15: 132.7899932861328, 16: 134.07000732421875, 17: 133.33999633789062, 18: 132.30999755859375, 19: 129.75999450683594, 20: 132.24000549316406, 21: 134.75, 22: 134.83999633789062}}",No,73.0,83.0,63.0,73.0,environmentScore,governanceScore,,,,
